"word";"freq"
"lake";182
"water";72
"canada";49
"diversity";46
"human";44
"canadian";35
"lulc";26
"quality";26
"freshwater";26
"watershed";36
"impact";38
"clarity";20
"satellite";21
"sediment";25
"zooplankton";20
"health";19
"spatial";19
"trophic";19
"environmental";18
"multi";18
"scale";26
"aquatic";17
"change";17
"climate";17
"data";17
"study";17
"model";29
"time";21
"variation";16
"algal";15
"continental";15
"found";15
"bacterial";14
"ecosystem";25
"industrial";14
"landsat";14
"pre";14
"indicator";20
"network";15
"activities";12
"anthropogenic";12
"communities";12
"ecological";12
"functional";12
"potential";12
"remote";12
"stressors";12
"taxonomic";12
"chlorophyll";11
"dna";11
"fecal";11
"high";11
"important";11
"land";12
"research";11
"sensing";11
"significant";11
"temporal";11
"turnover";11
"agriculture";10
"atmospheric";10
"beta";10
"community";10
"composition";10
"cyanobacteria";10
"empirical";10
"including";10
"large";10
"microbial";10
"provide";10
"sampled";10
"southern";10
"status";10
"studies";10
"surface";11
"understanding";10
"agricultural";9
"approach";14
"bacteria";9
"diatom";17
"field";10
"information";9
"lakepulse";9
"method";21
"optical";9
"significantly";9
"absorption";8
"algorithm";22
"analysis";8
"assess";8
"assessment";9
"based";8
"broad";8
"conditions";8
"correction";8
"greatest";8
"historical";8
"low";8
"multiple";8
"nserc";8
"oli";8
"opportunities";8
"organic";8
"sedimentation";8
"situ";8
"species";8
"state";9
"taxa";8
"catchment";7
"country";7
"due";7
"ecozone";29
"eutrophication";7
"greater";7
"highly";7
"imagery";7
"impacted";7
"increase";10
"inland";7
"microscopy";7
"monitoring";7
"msi";7
"national";7
"nutrient";9
"paleolimnology";7
"past";7
"pathogenic";7
"patterns";7
"plains";7
"potentially";7
"preserved";7
"primary";7
"protist";11
"range";7
"rich";7
"sampling";7
"sequencing";7
"cladoceran";9
"coefficient";7
"compared";6
"core";9
"date";6
"detected";6
"developed";6
"diverse";6
"eastern";6
"explore";6
"food";6
"global";6
"identified";6
"mag";6
"number";6
"paleolimnological";6
"production";6
"public";6
"reflectance";6
"regional";6
"related";6
"results";6
"sentinel";8
"showed";6
"spanning";6
"spectral";6
"tss";6
"activity";5
"adjacency";5
"alpha";5
"applied";5
"arg";5
"biodiversity";5
"bleaching";5
"cdom";5
"concentrations";5
"contamination";5
"counts";5
"critical";5
"database";6
"depth";5
"derived";5
"dynamics";5
"emerging";5
"examined";5
"fit";5
"future";5
"geomatics";5
"higher";5
"identify";5
"improve";5
"increased";5
"increasing";5
"light";5
"limited";5
"local";5
"magnitude";5
"major";5
"metabarcoding";5
"microorganisms";5
"mixedwood";5
"pasture";5
"performance";5
"present";5
"processing";5
"properties";5
"resistome";6
"river";7
"role";7
"similar";5
"specific";5
"structure";5
"techniques";5
"tele";5
"urban";5
"varying";5
"acdom";4
"affected";4
"assessed";4
"assessing";4
"band";6
"biogeography";4
"calibration";4
"challenge";7
"characteristics";4
"coli";4
"combined";4
"comprehensive";4
"conservation";4
"context";4
"dataset";9
"dating";4
"dissolved";4
"distinct";4
"distribution";6
"drinking";4
"effect";14
"efforts";4
"escherichia";4
"estimate";4
"extraction";4
"flow";4
"fungi";4
"gene";8
"geographic";4
"government";4
"importance";4
"improved";4
"increasingly";4
"influence";5
"key";4
"median";4
"natural";4
"objective";6
"observed";4
"olci";4
"overpass";4
"particulate";4
"percentage";4
"pigments";4
"point";4
"population";5
"predict";4
"quantify";4
"recent";4
"represent";7
"secchi";4
"sedimentary";4
"series";4
"shaping";4
"shotgun";4
"simuliidae";4
"spectra";4
"stoco";4
"survey";5
"traditional";4
"uncertainties";4
"validation";4
"values";4
"wide";4
"world";4
"worldwide";4
"ability";3
"abundance";5
"addition";3
"application";4
"applying";3
"archives";3
"assemblage";25
"association";3
"availability";3
"blooms";3
"boosted";3
"boreal";3
"catalogue";3
"changed";3
"climatic";3
"cluster";3
"compare";3
"considered";3
"consistent";3
"contemporary";3
"content";3
"contrasting";3
"covering";3
"crustacean";3
"cultural";3
"decrease";3
"development";3
"driven";3
"ecozonal";3
"effective";3
"epidemiology";3
"evaluate";3
"evaluating";3
"events";3
"evidence";3
"examine";3
"exceeded";3
"explained";3
"fraction";7
"framework";3
"frequently";3
"genera";3
"genetic";3
"geochemical";3
"geological";3
"gradient";10
"greatly";3
"guideline";9
"history";3
"horizon";3
"identifying";3
"implications";3
"incubator";5
"inferred";3
"invasive";3
"investigated";3
"laboratory";3
"long";3
"longitudinal";3
"lower";3
"management";3
"mapping";3
"matching";3
"matter";3
"mdn";3
"measured";3
"measurements";3
"mechanisms";3
"metabolic";3
"metagenome";9
"modern";3
"nps";3
"occurrence";3
"part";3
"particles";3
"performed";3
"planktonic";3
"policies";3
"populated";3
"predictions";3
"prevalent";3
"providing";3
"provisioning";3
"region";4
"regression";3
"relative";3
"remain";7
"reported";3
"resistance";3
"response";9
"resulting";3
"rrna";3
"sample";9
"science";3
"security";3
"selected";3
"service";10
"simultaneously";3
"size";5
"soil";3
"strategy";3
"subfossil";3
"taxon";3
"teams";3
"top";3
"transfer";3
"tree";3
"trend";9
"underlying";3
"vary";3
"veterinary";3
"view";3
"vulnerability";3
"warming";3
"wastewater";3
"worldviews";3
"academic";2
"accumulation";2
"accuracy";2
"act";2
"adjacent";2
"adjusted";2
"affect";2
"aimed";2
"albeit";2
"alterations";2
"amplicon";2
"amr";2
"andor";2
"animal";3
"appeared";2
"apply";2
"area";6
"assays";2
"assumptions";2
"atlantic";2
"bacterioplankton";2
"basin";4
"basis";2
"bias";3
"bio";2
"biological";2
"biomass";2
"biomes";2
"bottom";2
"broadest";2
"built";2
"capability";2
"central";2
"changing";2
"chicots";2
"chironomid";5
"chironomidae";2
"chronologies";2
"clearer";2
"coastal";2
"coincided";2
"collected";2
"color";2
"column";2
"comparative";2
"comparison";3
"complexity";2
"component";2
"consequences";2
"constituents";2
"contained";2
"contaminants";2
"coordinated";2
"correlation";2
"crs";2
"current";2
"cyanobacterial";2
"declines";2
"decreasing";2
"defined";2
"density";2
"des";2
"describe";2
"describing";2
"design";2
"detectable";2
"detection";2
"develop";2
"diptera";2
"discussed";2
"diseases";2
"disturbance";4
"doc";2
"drainage";2
"early";2
"ecology";2
"effectively";2
"elucidate";2
"epathogen";2
"epidemiological";2
"estimated";2
"eukaryotic";2
"eutrophic";2
"evaluated";2
"evaluation";2
"excellent";2
"exist";2
"expansion";2
"expected";2
"experienced";2
"experiencing";2
"explain";2
"explaining";2
"explored";2
"extended";2
"factor";10
"faster";2
"filter";2
"finally";2
"focused";2
"fragmented";2
"full";2
"function";2
"functioning";2
"gases";2
"general";2
"generated";2
"genome";2
"genomic";3
"goal";3
"green";2
"greenhouse";2
"heterogeneity";2
"heterotroph";2
"highest";2
"highlighting";2
"hold";3
"hospitals";2
"hundreds";2
"hydrological";2
"hypereutrophic";2
"improvements";2
"induced";2
"influenced";2
"influencing";2
"inherent";2
"integrative";2
"introduced";2
"ion";3
"knowledge";2
"lac";2
"landscape";3
"largely";2
"largest";2
"learning";2
"level";5
"leveraging";2
"likewise";2
"limnological";2
"livestock";2
"locally";2
"lowest";2
"machine";2
"main";2
"makers";2
"making";2
"map";3
"mass";2
"mesotrophiceutrophic";2
"microbiological";2
"microbiome";4
"microcystis";2
"modeling";2
"molecular";2
"multispectral";2
"myriad";2
"nationwide";2
"nature";2
"nuisance";2
"numerous";2
"obtained";2
"ocean";2
"order";2
"oxygen";2
"pathogen";8
"pelagic";2
"pervasive";2
"phototroph";2
"phytoplankton";2
"planktic";2
"plant";4
"play";2
"policy";2
"portable";2
"post";2
"predicted";2
"predictors";2
"preindustrial";2
"preservation";2
"previously";2
"product";6
"program";3
"project";2
"proportion";3
"provided";2
"proxy";2
"published";2
"quantification";2
"radiative";2
"rapidly";2
"rarely";2
"rate";11
"ratio";2
"readily";2
"recently";2
"recognizing";2
"reconstruct";2
"reconstruction";4
"record";3
"recreational";2
"reference";2
"regularly";2
"relation";2
"relationship";6
"relevant";2
"relying";2
"reservoirs";2
"resolution";2
"resolved";2
"respect";2
"responding";2
"retrieval";3
"revealed";2
"review";2
"revisit";2
"richness";2
"robust";2
"rock";2
"routinely";2
"safe";2
"scan";2
"sensitive";2
"set";2
"settings";2
"shield";2
"show";2
"simulations";2
"single";2
"source";4
"spanned";2
"stability";2
"strong";2
"studied";2
"substrate";2
"suggest";3
"suite";2
"supports";2
"swimming";2
"systematic";2
"taxonomy";2
"tend";2
"term";4
"tested";2
"threshold";4
"timely";2
"total";2
"trait";3
"treatment";2
"types";2
"typically";2
"unclear";2
"understand";2
"urbanization";2
"varied";2
"vegetation";2
"versus";2
"viruses";2
"visible";2
"web";4
"window";4
"work";2
"aboard";1
"absorbing";1
"accelerate";1
"accelerated";1
"accepted";1
"access";1
"accessible";1
"accurate";1
"accurately";1
"achieve";1
"acholeplasma";1
"acquisitions";1
"actinobacteria";1
"adapted";1
"additional";1
"address";1
"adds";1
"adopted";1
"advances";1
"advantageous";1
"aerosols";1
"age";1
"agency";1
"aging";1
"aiming";1
"air";1
"algae";1
"allowing";1
"alphaproteobacteria";1
"alter";1
"altered";1
"altering";1
"analyse";5
"analytical";1
"analyzed";1
"ancillary";1
"angle";1
"annual";1
"anthropocene";1
"antibiotic";4
"aphanizomenon";1
"apparent";1
"apparently";1
"approximately";1
"apt";1
"archived";1
"arising";1
"array";1
"arrival";1
"art";1
"artifacts";1
"assemblies";1
"associate";1
"assumed";1
"atmosphere";1
"attempt";1
"attributed";1
"automated";1
"avenues";1
"average";1
"averaging";1
"background";1
"bacteriological";1
"bacteriophages";1
"bacteroides";1
"barriers";1
"baseline";3
"begun";1
"betaproteobacteria";1
"biased";1
"biggest";1
"binary";1
"bioassessment";1
"biogeochemical";1
"biogeographic";1
"bioindicators";1
"biotic";1
"black";1
"bluered";1
"boating";1
"bodies";1
"bounds";1
"breached";1
"bright";1
"bringing";1
"build";1
"building";1
"calcium";1
"calibrate";1
"calibrated";1
"campaigns";1
"candidatus";1
"capacity";1
"capsules";1
"captured";1
"carbohydrate";1
"carbon";1
"case";1
"categories";1
"caudovirales";1
"caused";1
"causing";1
"cdomcdom";1
"cfcs";1
"challenged";1
"chaoboridae";1
"characterized";1
"chemical";2
"chl";1
"chloride";1
"choosing";1
"cic";1
"citizen";1
"class";3
"classifications";1
"clear";1
"close";1
"closer";1
"closure";1
"cloud";1
"clustered";1
"coinciding";1
"coliforms";1
"colored";1
"coloured";1
"combination";2
"combining";1
"coming";1
"common";1
"commonly";1
"comparably";1
"comparing";1
"compiled";1
"complementary";1
"complex";1
"computed";1
"computing";1
"concern";1
"concurrent";1
"conduct";1
"conductance";1
"confounding";1
"congruence";1
"conserved";1
"consistency";1
"constrained";1
"constructed";1
"constructing";1
"construction";1
"contaminated";1
"continue";1
"continuing";1
"contrast";1
"contributed";1
"contributes";1
"contributions";1
"conventional";1
"cordillera";1
"correlated";1
"cost";2
"coupling";1
"coverage";1
"covered";1
"create";1
"created";1
"crop";1
"cryptococcus";1
"cryptosporidium";1
"damage";1
"dark";1
"day";1
"decades";1
"decision";1
"decomposing";1
"deep";1
"define";1
"degree";3
"deloro";1
"demonstrate";3
"demonstrated";1
"dense";1
"depending";1
"derivable";1
"desulfovibrio";1
"detailed";1
"deterioration";1
"determinant";1
"determine";1
"determined";1
"developing";1
"deviance";1
"diagenetic";1
"differed";1
"difference";11
"differential";1
"differently";1
"difficult";1
"difficulties";1
"dimensional";1
"dimensions";1
"direct";1
"direction";1
"disappeared";1
"discharge";1
"disciplinary";1
"discovering";1
"discussions";1
"disentangle";1
"disentangling";1
"disk";1
"dispersal";1
"displaying";1
"dissimilarity";1
"distinguished";1
"disturbed";1
"divide";1
"dolichospermum";1
"dominant";1
"dominating";1
"dramatically";1
"drinkability";1
"driver";6
"driving";1
"duplicate";1
"earth";2
"easily";1
"echoing";1
"ecologies";1
"ecologists";1
"edna";1
"elicited";1
"elusive";1
"emphasizing";1
"enable";1
"enabled";1
